kabr,45456,-98413,1383,309,ABERDEEN
kabx,35150,-106824,5951,311,ALBUQUERQUE
kakq,36984,-77008,209,516,NORFOLK
kama,35233,-101709,3703,313,AMARILLO
kamx,25611,-80413,111,728,MIAMI
kapx,44906,-84720,1561,312,NCL MICHIGAN
karx,43823,-91191,1357,389,LA CROSSE
katx,48195,-122494,607,542,SEATTLE
kbbx,39496,-121632,221,380,BEALE AFB
kbgm,42201,-75985,1703,319,BINGHAMTON
kbhx,40499,-124291,2516,359,EUREKA  (BUNKER HILL)
kbis,46711,-100760,1755,321,BISMARCK
kblx,45854,-108607,3703,318,BILLINGS
kbmx,33172,-86770,759,320,BIRMINGHAM
kbox,41956,-71138,231,323,BOSTON
kbro,25916,-97419,87,324,BROWNSVILLE
kbuf,42949,-78737,790,325,BUFFALO
kbyx,24597,-81703,89,386,KEY WEST
kcae,33949,-81119,344,341,COLUMBIA
kcbw,46039,-67807,859,329,CARIBOU
kcbx,43490,-116236,3171,322,BOISE
kccx,40923,-78004,2486,374,STATE COLLEGE
kcle,41413,-81860,860,340,CLEVELAND
kclx,32655,-81042,228,333,CHARLESTON SC
kcrp,27784,-97511,142,343,CORPUS CHRISTI
kcxx,44511,-73166,431,326,BURLINGTON
kcys,41152,-104806,6192,335,CHEYENNE
kdax,38501,-121677,144,536,SACRAMENTO
kddc,37761,-99969,2671,350,DODGE CITY
kdfx,29273,-100280,1196,394,LAUGHLIN AFB
kdgx,32280,-89984,609,855,BRANDON
kdix,39947,-74411,230,523,PHILADELPHIA
kdlh,46837,-92210,1542,352,DULUTH
kdmx,41731,-93723,1058,348,DES MOINES
kdox,38826,-75440,163,351,DOVER AFB
kdtx,42700,-83472,1216,349,DETROIT
kdvn,41612,-90581,851,530,QUAD CITIES
kdyx,32538,-99254,1581,353,DYESS AFB
keax,38810,-94264,1098,385,PLEASANT HILL
kemx,31894,-110630,5319,556,TUCSON
kenx,42586,-74064,1907,310,ALBANY
keox,31460,-85459,537,362,FT RUCKER
kepz,31873,-106698,4218,357,EL PASO
kesx,35701,-114891,4948,566,LAS VEGAS
kevx,30565,-85922,222,307,EGLIN AFB
kewx,29704,-98029,766,539,AUSTIN/SAN ANTONIO
keyx,35098,-117561,2873,511,EDWARDS AFB
kfcx,37024,-80274,2965,534,ROANOKE
kfdr,34362,-98977,1311,305,ALTUS AFB
kfdx,34634,-103619,4698,328,CANNON AFB
kffc,33363,-84566,972,316,ATLANTA
kfsd,43588,-96729,1495,544,SIOUX FALLS
kfsx,34574,-111197,7514,361,FLAGSTAFF (RPG)
kftg,39786,-104546,5610,347,DENVER
kfws,32573,-97303,764,345,DALLAS/FT WORTH
kggw,48206,-106625,2384,365,GLASGOW
kgjx,39062,-108214,10100,368,GRAND JUNCTION (RPG)
kgld,39367,-101700,3717,366,GOODLAND
kgrb,44499,-88111,806,371,GREEN BAY
kgrk,30722,-97383,602,332,FT HOOD
kgrr,42894,-85545,875,369,GRAND RAPIDS
kgsp,34883,-82220,1068,555,GREER
pgua,13456,144811,386,314,ANDERSEN AFB
kgwx,33897,-88329,589,342,COLUMBUS AFB
kgyx,43891,-70257,473,528,PORTLAND ME
khdx,33077,-106120,4270,376,HOLLOMAN AFB
khgx,29472,-95079,115,378,HOUSTON
khnx,36314,-119631,340,363,SAN JOAQUIN VALY
khpx,36737,-87285,624,364,FT CAMPBELL
khtx,34931,-86084,1859,826,NORTHEAST ALABAMA
kict,37654,-97443,1403,562,WICHITA
kicx,37591,-112862,10756,330,CEDAR CITY (RPG)
kiln,39420,-83822,1170,338,CINCINNATI
kilx,40150,-89337,730,549,LINCOLN
