dan1,35238,-97460,1314,520,ROC DOD RPG (Analog MSCF)
dop1,35238,-97460,1314,520,ROC DOD RPG (RPG1)
drx1,35238,-97460,1314,520,ROC DOD RPG (KREX)
fop1,35238,-97460,1314,520,ROC FAA REDUNDANT (RPG 1)
fpsf,35392,-97628,1295,857,FAA  PSF AT OKC (RDA 1)
kabr,45456,-98413,1383,309,ABERDEEN
kabx,35150,-106824,5951,311,ALBUQUERQUE
kakq,36984,-77008,254,516,NORFOLK
kama,35233,-101709,3703,313,AMARILLO
kamx,25611,-80413,111,728,MIAMI
kapx,44906,-84720,1561,312,NCL MICHIGAN
karx,43823,-91191,1357,389,LA CROSSE
katx,48195,-122496,642,542,SEATTLE
kbbx,39496,-121632,221,380,BEALE AFB
kbgm,42200,-75985,1703,319,BINGHAMTON
kbhx,40499,-124292,2516,359,EUREKA (BUNKER HILL)
kbis,46771,-100760,1755,321,BISMARCK
kblx,45854,-108607,3703,318,BILLINGS
kbmx,33172,-86770,759,320,BIRMINGHAM
kbox,41956,-71137,231,323,BOSTON
kbro,25916,-97419,87,324,BROWNSVILLE
kbuf,42949,-78737,790,325,BUFFALO
kbyx,24597,-81703,89,386,KEY WEST
kcae,33949,-81119,344,341,COLUMBIA
kcbw,46039,-67806,859,329,CARIBOU
kcbx,43490,-116236,3171,322,BOISE
kccx,40923,-78004,2486,374,STATE COLLEGE
kcle,41413,-81860,860,340,CLEVELAND
kclx,32655,-81042,228,333,"CHARLESTON, SC"
kcrp,27784,-97511,142,343,CORPUS CHRISTI
kcxx,44511,-73166,431,326,BURLINGTON
kcys,41152,-104806,6192,335,CHEYENNE
kdax,38501,-121678,144,536,SACRAMENTO
kddc,37761,-99969,2671,350,DODGE CITY
kdfx,29273,-100280,1196,394,LAUGHLIN AFB
kdgx,32280,-89984,609,855,"JACKSON/BRANDON, MS"
kdix,39947,-74411,230,523,PHILADELPHIA
kdlh,46837,-92210,1542,352,DULUTH
kdmx,41731,-93723,1094,348,DES MOINES
kdox,38826,-75440,163,351,DOVER AFB
kdtx,42700,-83472,1216,349,DETROIT
kdvn,41612,-90581,851,530,QUAD CITIES
kdyx,32538,-99254,1581,353,DYESS AFB
keax,38810,-94264,1098,385,PLEASANT HILL
kemx,31894,-110630,5319,556,TUCSON
kenx,42586,-74064,1934,310,ALBANY
keox,31460,-85459,537,362,FT RUCKER
kepz,31873,-106698,4218,357,EL PASO
kesx,35701,-114891,4948,566,LAS VEGAS
kevx,30565,-85922,222,307,EGLIN AFB
kewx,29704,-98029,766,539,AUSTIN/SAN ANTONIO
keyx,35098,-117561,2873,511,EDWARDS AFB
kfcx,37024,-80274,2965,534,ROANOKE
kfdr,34362,-98977,1311,305,ALTUS AFB
kfdx,34634,-103619,4698,328,CANNON AFB
kffc,33363,-84566,972,316,ATLANTA
kfsd,43588,-96729,1495,544,SIOUX FALLS
kfsx,34574,-111198,7514,361,FLAGSTAFF 
kftg,39786,-104546,5610,347,DENVER
kfws,32573,-97303,776,345,DALLAS/FT WORTH
kggw,48206,-106625,2384,365,GLASGOW
kgjx,39062,-108214,10100,368,GRAND JUNCTION 
kgld,39367,-101700,3717,366,GOODLAND
kgrb,44499,-88111,806,371,GREEN BAY
kgrk,30722,-97383,602,332,FT HOOD
kgrr,42894,-85545,875,369,GRAND RAPIDS
kgsp,34883,-82220,1068,555,GREER
kgwx,33897,-88329,589,342,COLUMBUS AFB
kgyx,43891,-70256,473,528,"PORTLAND, ME"
