                name    pid   cpu    mem  life command
            a_recomb  17139    0m   280K  429s recomb -T a_recomb -A -.
            alerting  17141    0m   312K  429s alerting
            basrflct  17143    0m   316K  429s basrflct -T basrflct
            basspect  17145    0m   316K  429s basspect -T basspect
            basvgrid  17147    0m   288K  429s basvgrid
            basvlcty  17149    0m   320K  429s basvlcty -T basvlcty
            bref8bit  17151    0m   304K  429s bref8bit -T bref8bit
            bvel8bit  17153    0m   300K  429s bvel8bit -T bvel8bit
            clutprod  17155    0m   732K  429s clutprod
            cmprfape  17157    0m   416K  429s cmprfape
             cmprfcg  17159    0m   468K  428s cmprfcg -T cmprfcg
            cmprflct  17161    0m   288K  428s cmprflct
            combattr  17163    0m   304K  428s combattr
         control_rda  17165    0m   304K  428s control_rda -d -l 5000 .
            cpcntalg  17167    0m   388K  428s cpcntalg
            crapeprd  17169    0m   476K  428s crapeprd
           data_qual  17171    0m   496K  428s data_qual
        dp_dua_accum  17173    0m   300K  428s dp_dua_accum -T dp_dua_.
        dp_elev_prod  17175    0m   292K  428s dp_elev_prod
         dp_lt_accum  17177    0m   288K  428s dp_lt_accum
      dp_precip_4bit  17179    0m   324K  427s dp_precip_4bit
      dp_precip_8bit  17181    0m   320K  427s dp_precip_8bit
        dp_s2s_accum  17183    0m   300K  427s dp_s2s_accum
              dpprep  17185    0m   284K  427s dpprep
            dqa_elev  17187    0m   292K  427s dqa_elev
         dualpol4bit  17189    0m   300K  427s dualpol4bit
         dualpol8bit  17191    0m   300K  427s dualpol8bit
            ecotppro  17193    0m   448K  427s ecotppro
           elev_prod  17195    0m   284K  427s elev_prod -T elev_prod
                epre  17197    0m   300K  427s epre
         hail_hazard  17199    0m   300K  426s hail_hazard
             hailalg  17201    0m   384K  426s hailalg
            hailprod  17203    0m   400K  426s hailprod
                 hca  17205    0m   304K  426s hca
           hci_agent  17207    0m   500K  426s hci_agent
             hhc8bit  17209    0m   300K  426s hhc8bit -T hhc8bit
            hireseet  17211    0m   296K  426s hireseet
            hiresvil  17213    0m   296K  426s hiresvil
            hybrprod  17215    0m   316K  426s hybrprod
        icing_hazard  17217    0m  1152K  426s icing_hazard
             itwsdbv  17219    0m   316K  426s itwsdbv
               lcrap  17221    0m   428K  425s lcrap
             lcrappg  17223    0m   420K  425s lcrappg
             lcrflct  17225    0m   452K  425s lcrflct
          ldm_recomb  17227    0m   284K  425s recomb -T ldm_recomb -A.
               mda1d  17229    0m   300K  425s mda1d
               mda2d  17231    0m   576K  425s mda2d
               mda3d  17233    0m  1232K  425s mda3d
             mdaprod  17235    0m   304K  425s mdaprod
             mdattnn  17237    0m  1436K  425s mdattnn
                mlda  17239    0m  1196K  425s mlda
              mlprod  17241    0m   304K  424s mlprod -T mlprod
           mngdskerr  17243    0m   100K  424s mngdskerr
                mrpg  17051  570m   580K  439s mrpg -p -v startup
          nexradAmda  17245    0m  2208K  424s nexradAmda
         nexradMigfa  17248    0m  2732K  424s nexradMigfa -N
            ntda_alg  17251    0m   320K  424s ntda_alg
             ntda_fp  17253    0m   304K  424s ntda_fp
          owr_server  17255    0m   128K  424s owr_server -l
                 pbd  17257    0m   364K  424s pbd -v -l 5000
            pcipdalg  17259    0m   308K  424s pcipdalg
            prcpadju  17261    0m   444K  424s prcpadju
            prcpprod  17263    0m   596K  424s prcpprod
            prcprtac  17265    0m   908K  423s prcprtac
            prcpuspt  17267    0m   448K  423s prcpuspt
             prfbmap  17269    0m   304K  423s prfbmap
           prfselect  17271    0m   312K  423s prfselect
          ps_onetime  17273    0m   224K  423s ps_onetime -v 3
          ps_routine  17275    0m   404K  423s ps_routine -v 3 -l500
                 qia  17277    0m   280K  423s qia
             qperate  17279    0m  2252K  423s qperate
            radcdmsg  17281    0m   452K  423s radcdmsg -T radcdmsg
            recclalg  17283    0m   300K  423s recclalg
          recclprods  17285    0m   308K  423s recclprods
              recomb  17287    0m   284K  422s recomb -T recomb -l 1000
     replay_basrflct  17289    0m   304K  422s basrflct -T replay_basr.
     replay_basspect  17291    0m   300K  422s basspect -T replay_bass.
     replay_basvlcty  17293    0m   304K  422s basvlcty -T replay_basv.
     replay_bref8bit  17295    0m   304K  422s bref8bit -T replay_bref.
     replay_bvel8bit  17297    0m   304K  422s bvel8bit -T replay_bvel.
      replay_cmprfcg  17299    0m   476K  422s cmprfcg -T replay_cmprf.
 replay_dp_dua_accum  17301    0m   284K  422s dp_dua_accum -T replay_.
     replay_radcdmsg  17303    0m   456K  422s radcdmsg -T replay_radc.
      replay_srmrmrv  17305    0m   312K  422s srmrmrv -T replay_srmrm.
 replay_user_sel_LRM  17307    0m  1928K  421s user_sel_LRM -T replay_.
          replay_vad  17309    0m   444K  421s vad -T replay_vad
     replay_vertxsct  17311    0m   464K  421s vertxsct -T replay_vert.
              rpgdbm  17315    0m   356K  421s rpgdbm -v
            saaprods  17317    0m   328K  421s saaprods
            saausers  17319    0m   332K  421s saausers
            segmtalg  17321    0m   436K  421s segmtalg
           snowaccum  17323    0m   640K  421s snowaccum
        sr_elev_prod  17325    0m   280K  421s elev_prod -T sr_elev_pr.
             srmrmrv  17327    0m   320K  420s srmrmrv -T srmrmrv
         status_prod  17329    0m   308K  420s status_prod
            stmtrprd  17331    0m   396K  420s stmtrprd
           strucprod  17333    0m   392K  420s strucprod
         superes8bit  17335    0m   300K  420s superes8bit
         superob_vel  17337    0m   300K  420s superob_vel
               tda1d  17339    0m   436K  420s tda1d
             tda2d3d  17341    0m   424K  420s tda2d3d
           tda2d3dru  17343    0m   424K  420s tda2d3dru
           tdaruprod  17345    0m   328K  420s tdaruprod
            trfrcalg  17349    0m   372K  420s trfrcalg
             tvsprod  17351    0m   456K  419s tvsprod
     update_alg_data  17353    0m   232K  419s update_alg_data
        user_sel_LRM  17355    0m  1924K  419s user_sel_LRM -T user_se.
                 vad  17357    0m   444K  419s vad -T vad
             veldeal  17359    0m   384K  419s veldeal -I
            vertxsct  17361    0m   460K  419s vertxsct -T vertxsct
            viletalg  17363    0m   424K  419s viletalg
             vilprod  17365    0m   440K  419s vilprod
            vwindpro  17367    0m   344K  419s vwindpro
      wideband_agent  17369    0m   400K  419s wideband_agent
RPG: Operating state - Active - In Operational Mode
